,0,1,2,3,4,5,6,7,8,9,10
0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,100.0,99.87313842773438,99.74627685546875,99.6254653930664,99.52891540527344,99.48806762695312,99.52891540527344,99.6254653930664,99.74627685546875,99.87313842773438,100.0
2,100.0,99.74627685546875,99.48643493652344,99.2264404296875,99.00129699707031,98.89260864257812,99.00129699707031,99.2264404296875,99.48643493652344,99.74627685546875,100.0
3,100.0,99.6254653930664,99.2264404296875,98.79095458984375,98.35071563720703,98.06207275390625,98.35071563720703,98.79095458984375,99.2264404296875,99.6254653930664,100.0
4,100.0,99.52891540527344,99.00129699707031,98.35071563720703,97.49935913085938,96.46529388427734,97.49935913085938,98.35071563720703,99.00129699707031,99.52891540527344,100.0
5,100.0,99.48806762695312,98.89260864257812,98.06207275390625,96.46529388427734,90.0,96.46529388427734,98.06207275390625,98.89260864257812,99.48806762695312,100.0
6,100.0,99.52891540527344,99.00129699707031,98.35071563720703,97.49935913085938,96.46529388427734,97.49935913085938,98.35071563720703,99.00129699707031,99.52891540527344,100.0
7,100.0,99.6254653930664,99.2264404296875,98.79095458984375,98.35071563720703,98.06207275390625,98.35071563720703,98.79095458984375,99.2264404296875,99.6254653930664,100.0
8,100.0,99.74627685546875,99.48643493652344,99.2264404296875,99.00129699707031,98.89260864257812,99.00129699707031,99.2264404296875,99.48643493652344,99.74627685546875,100.0
9,100.0,99.87313842773438,99.74627685546875,99.6254653930664,99.52891540527344,99.48806762695312,99.52891540527344,99.6254653930664,99.74627685546875,99.87313842773438,100.0
10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
